int	string	int	int	float	int	int	float	int	int	float	int	int	float	int	int	float
id	城市名称	3级关注度产出	3级产出数量	3级产出几率	7级关注度产出	7级产出数量	7级产出几率	10级关注度产出	10级产出数量	10级产出几率	15级关注度产出	15级产出数量	15级产出几率	20级关注度产出	20级产出数量	20级产出几率
id	zh_cn_name	level_out_3	level_num_3	level_chance_3	level_out_7	level_num_7	level_chance_7	level_out_10	level_num_10	level_chance_10	level_out_15	level_num_15	level_chance_15	level_out_20	level_num_20	level_chance_20
1101	城市1	1	10	0.1	2	10	0.1	3	10	0.1	4	10	0.1	5	10	0.1
1102	城市2	1	10	0.1	2	10	0.1	3	10	0.1	4	10	0.1	5	10	0.1
1103	城市3	1	10	0.1	2	10	0.1	3	10	0.1	4	10	0.1	5	10	0.1
1104	城市4	1	10	0.1	2	10	0.1	3	10	0.1	4	10	0.1	5	10	0.1
1105	城市5	1	10	0.1	2	10	0.1	3	10	0.1	4	10	0.1	5	10	0.1
1106	城市6	1	10	0.1	2	10	0.1	3	10	0.1	4	10	0.1	5	10	0.1
1107	城市7	1	10	0.1	2	10	0.1	3	10	0.1	4	10	0.1	5	10	0.1
1108	城市8	1	10	0.1	2	10	0.1	3	10	0.1	4	10	0.1	5	10	0.1
1109	城市9	1	10	0.1	2	10	0.1	3	10	0.1	4	10	0.1	5	10	0.1
1110	城市10	1	10	0.1	2	10	0.1	3	10	0.1	4	10	0.1	5	10	0.1
1111	城市11	1	10	0.1	2	10	0.1	3	10	0.1	4	10	0.1	5	10	0.1
1112	城市12	1	10	0.1	2	10	0.1	3	10	0.1	4	10	0.1	5	10	0.1
1113	城市13	1	10	0.1	2	10	0.1	3	10	0.1	4	10	0.1	5	10	0.1
1114	城市14	1	10	0.1	2	10	0.1	3	10	0.1	4	10	0.1	5	10	0.1
1115	城市15	1	10	0.1	2	10	0.1	3	10	0.1	4	10	0.1	5	10	0.1
1116	城市16	1	10	0.1	2	10	0.1	3	10	0.1	4	10	0.1	5	10	0.1
1117	城市17	1	10	0.1	2	10	0.1	3	10	0.1	4	10	0.1	5	10	0.1
1118	城市18	1	10	0.1	2	10	0.1	3	10	0.1	4	10	0.1	5	10	0.1
1119	城市19	1	10	0.1	2	10	0.1	3	10	0.1	4	10	0.1	5	10	0.1
1120	城市20	1	10	0.1	2	10	0.1	3	10	0.1	4	10	0.1	5	10	0.1
1121	城市21	1	10	0.1	2	10	0.1	3	10	0.1	4	10	0.1	5	10	0.1
1122	城市22	1	10	0.1	2	10	0.1	3	10	0.1	4	10	0.1	5	10	0.1
1123	城市23	1	10	0.1	2	10	0.1	3	10	0.1	4	10	0.1	5	10	0.1
1124	城市24	1	10	0.1	2	10	0.1	3	10	0.1	4	10	0.1	5	10	0.1
1125	城市25	1	10	0.1	2	10	0.1	3	10	0.1	4	10	0.1	5	10	0.1
1126	城市26	1	10	0.1	2	10	0.1	3	10	0.1	4	10	0.1	5	10	0.1
1127	城市27	1	10	0.1	2	10	0.1	3	10	0.1	4	10	0.1	5	10	0.1
1128	城市28	1	10	0.1	2	10	0.1	3	10	0.1	4	10	0.1	5	10	0.1
1129	城市29	1	10	0.1	2	10	0.1	3	10	0.1	4	10	0.1	5	10	0.1
1130	城市30	1	10	0.1	2	10	0.1	3	10	0.1	4	10	0.1	5	10	0.1
